Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
SerialiseData/ExMemory 5,1.0751756375555678e-6,1.072035029092937e-6,1.083575677760454e-6,1.494403160773893e-8,7.348880804454414e-9,3.0592295340785864e-8
SerialiseData/ExMemory 5,1.08740343421984e-6,1.0672317412472078e-6,1.1527035187460472e-6,1.04548923312671e-7,1.086230125458388e-8,2.1555626720025134e-7
SerialiseData/ExMemory 5,1.1539283634042043e-6,1.1475866741919033e-6,1.163017113364653e-6,2.529231428634749e-8,1.5313272765180762e-8,3.692915395403939e-8
SerialiseData/ExMemory 14,4.764393850549489e-6,4.627436902841574e-6,5.192684813274025e-6,7.830796467521458e-7,3.165383134039059e-7,1.4306934521189288e-6
SerialiseData/ExMemory 5,1.180384300701352e-6,1.16022564390062e-6,1.21271842803223e-6,8.398037209712994e-8,5.52963238863362e-8,1.1597296317726193e-7
SerialiseData/ExMemory 9,1.2540680935517636e-6,1.2202208290655026e-6,1.3218537248520184e-6,1.951231532038854e-7,1.3104675608586255e-7,2.8661900932616784e-7
SerialiseData/ExMemory 14,5.6394106352390855e-6,5.4031409312918625e-6,5.930085861659234e-6,9.212703800411095e-7,7.955768546461837e-7,1.0250343834346486e-6
SerialiseData/ExMemory 14,5.8982528228437694e-6,5.5488075710952325e-6,6.827865795719571e-6,2.111395729616578e-6,7.736341198576176e-7,3.882026588557382e-6
SerialiseData/ExMemory 6,1.149938846312755e-6,1.147795564547272e-6,1.1548062101702869e-6,1.0303085134407885e-8,5.887409866351635e-9,1.844819535021894e-8
SerialiseData/ExMemory 14,4.703468676552281e-6,4.614616425439849e-6,4.820021453396599e-6,3.3773008630930815e-7,2.269490784586331e-7,5.679291641006964e-7
SerialiseData/ExMemory 14,5.459007060033345e-6,5.286375915472504e-6,5.689878501832119e-6,6.863439742827162e-7,5.806868730912313e-7,8.423861489199072e-7
SerialiseData/ExMemory 6,1.1685233519053876e-6,1.1522384951367475e-6,1.2119681933648983e-6,8.270650496900242e-8,4.151269781489191e-8,1.5583765955274843e-7
SerialiseData/ExMemory 7,1.2420793927007962e-6,1.202268985133994e-6,1.2994149260711352e-6,1.63469499535935e-7,1.2968508943428723e-7,1.927569716004761e-7
SerialiseData/ExMemory 148,2.0972465846047533e-5,2.0458807837638834e-5,2.1608940942637117e-5,1.9898622127587212e-6,1.3621623170219444e-6,3.071482750385383e-6
SerialiseData/ExMemory 79,9.031133302512504e-6,8.866805187574238e-6,9.371043388129546e-6,8.127041590246283e-7,4.375488362366545e-7,1.408170358509838e-6
SerialiseData/ExMemory 82,7.693307514203069e-6,7.510488711773684e-6,7.960523437022587e-6,7.087829568294326e-7,5.046778029150024e-7,9.08123337165462e-7
SerialiseData/ExMemory 59,5.553951045979577e-6,5.470738938213199e-6,5.687642494155039e-6,3.612813588138799e-7,2.1787768087671268e-7,5.257196455349426e-7
SerialiseData/ExMemory 1217,1.774307966967533e-4,1.7130527923851015e-4,1.8753580238521758e-4,2.450926747053424e-5,1.7884112229447114e-5,3.40085827158001e-5
SerialiseData/ExMemory 4,1.1191379911079085e-6,1.1061620464255134e-6,1.1493348878990331e-6,5.933102664653016e-8,3.3871973273664747e-8,9.999633508329074e-8
SerialiseData/ExMemory 31,6.9391443063173525e-6,6.70042727521559e-6,7.289085360154699e-6,1.0024908175352035e-6,8.100857527883278e-7,1.3791964779154305e-6
